instance,family,n,K,alpha,gap,distance,tier
D_n070_032_a75_096,D,70,4,0.75,0.142315,Line,<0.5%
D_n070_033_a25_097,D,70,4,0.25,0.554187,Line,0.5-1%
D_n070_033_a50_098,D,70,4,0.5,1.1263,Line,1-2%
D_n070_033_a75_099,D,70,4,0.75,0.389963,Line,<0.5%
D_n070_034_a25_100,D,70,4,0.25,1.072386,Line,1-2%
D_n070_034_a50_101,D,70,4,0.5,1.599281,Line,1-2%
D_n070_034_a75_102,D,70,4,0.75,0.109958,Line,<0.5%
D_n070_035_a25_103,D,70,4,0.25,1.116149,Line,1-2%
D_n070_035_a50_104,D,70,4,0.5,1.178451,Line,1-2%
D_n070_035_a75_105,D,70,4,0.75,0.197394,Line,<0.5%
D_n075_036_a25_106,D,75,4,0.25,0.941701,Line,0.5-1%
D_n075_036_a50_107,D,75,4,0.5,0.638449,Line,0.5-1%
D_n075_036_a75_108,D,75,4,0.75,0.487352,Line,<0.5%
D_n075_037_a25_109,D,75,4,0.25,0.35517,Line,<0.5%
D_n075_037_a50_110,D,75,4,0.5,0.058288,Line,<0.5%
D_n075_037_a75_111,D,75,4,0.75,0.106815,Line,<0.5%
D_n075_038_a25_112,D,75,4,0.25,0.460678,Line,<0.5%
D_n075_038_a50_113,D,75,4,0.5,0.903733,Line,0.5-1%
D_n075_038_a75_114,D,75,4,0.75,0.123925,Line,<0.5%
D_n075_039_a25_115,D,75,4,0.25,0.079372,Line,<0.5%
D_n075_039_a50_116,D,75,4,0.5,0.711284,Line,0.5-1%
D_n075_039_a75_117,D,75,4,0.75,0.048146,Line,<0.5%
D_n075_040_a25_118,D,75,4,0.25,1.097707,Line,1-2%
D_n075_040_a50_119,D,75,4,0.5,0.876211,Line,0.5-1%
D_n075_040_a75_120,D,75,4,0.75,0.181554,Line,<0.5%
D_n080_041_a25_121,D,80,4,0.25,0.086881,Line,<0.5%
D_n080_041_a50_122,D,80,4,0.5,0.923705,Line,0.5-1%
D_n080_041_a75_123,D,80,4,0.75,0.482456,Line,<0.5%
D_n080_042_a25_124,D,80,4,0.25,1.240121,Line,1-2%
D_n080_042_a50_125,D,80,4,0.5,1.784239,Line,1-2%
D_n080_042_a75_126,D,80,4,0.75,0.161812,Line,<0.5%
D_n080_043_a25_127,D,80,4,0.25,0.322981,Line,<0.5%
D_n080_043_a50_128,D,80,4,0.5,1.383456,Line,1-2%
D_n080_043_a75_129,D,80,4,0.75,0.114155,Line,<0.5%
D_n080_044_a25_130,D,80,4,0.25,0.330033,Line,<0.5%
D_n080_044_a50_131,D,80,4,0.5,0.760803,Line,0.5-1%
D_n080_044_a75_132,D,80,4,0.75,0.054106,Line,<0.5%
D_n080_045_a25_133,D,80,4,0.25,1.200083,Line,1-2%
D_n080_045_a50_134,D,80,4,0.5,0.765288,Line,0.5-1%
D_n080_045_a75_135,D,80,4,0.75,0.152207,Line,<0.5%
EB_n100_001_a25_001,EB,100,2,0.25,1.258055,Euclidean,1-2%
EB_n100_001_a50_002,EB,100,2,0.5,1.730682,Euclidean,1-2%
EB_n100_001_a75_003,EB,100,2,0.75,0.032103,Euclidean,<0.5%
EB_n100_002_a25_004,EB,100,2,0.25,0.220063,Euclidean,<0.5%
EB_n100_002_a50_005,EB,100,2,0.5,1.729079,Euclidean,1-2%
EB_n100_002_a75_006,EB,100,2,0.75,0.0,Euclidean,exact
EB_n100_003_a25_007,EB,100,2,0.25,0.172968,Euclidean,<0.5%
EB_n100_003_a50_008,EB,100,2,0.5,1.246565,Euclidean,1-2%
EB_n100_003_a75_009,EB,100,2,0.75,0.0,Euclidean,exact
EB_n100_004_a25_010,EB,100,2,0.25,1.855687,Euclidean,1-2%
EB_n100_004_a50_011,EB,100,2,0.5,1.499099,Euclidean,1-2%
EB_n100_004_a75_012,EB,100,2,0.75,0.0,Euclidean,exact
EB_n100_005_a25_013,EB,100,2,0.25,0.827729,Euclidean,0.5-1%
EB_n100_005_a50_014,EB,100,2,0.5,0.003021,Euclidean,exact
EB_n100_005_a75_015,EB,100,2,0.75,0.0,Euclidean,exact
EB_n110_006_a25_016,EB,110,2,0.25,0.105152,Euclidean,<0.5%
EB_n110_006_a50_017,EB,110,2,0.5,1.983242,Euclidean,1-2%
EB_n110_006_a75_018,EB,110,2,0.75,0.094094,Euclidean,<0.5%
EB_n110_007_a25_019,EB,110,2,0.25,0.111095,Euclidean,<0.5%
EB_n110_007_a50_020,EB,110,2,0.5,0.377076,Euclidean,<0.5%
EB_n110_007_a75_021,EB,110,2,0.75,0.0,Euclidean,exact
EB_n110_008_a25_022,EB,110,2,0.25,0.213243,Euclidean,<0.5%
EB_n110_008_a50_023,EB,110,2,0.5,0.081946,Euclidean,<0.5%
EB_n110_008_a75_024,EB,110,2,0.75,0.0,Euclidean,exact
EB_n110_009_a25_025,EB,110,2,0.25,0.044474,Euclidean,<0.5%
EB_n110_009_a50_026,EB,110,2,0.5,1.512676,Euclidean,1-2%
EB_n110_009_a75_027,EB,110,2,0.75,0.0,Euclidean,exact
