instance,family,obj,published_ub,published_gap_pct,lb2_floor,min_ub,new_gap_pct
D_n045_007_a50_020,D,1105.0,1105.0,0.0,1385,1105.0,0.0
D_n045_007_a75_021,D,1369.0,1369.0,0.0,1386,1369.0,0.0
D_n045_008_a25_022,D,953.0,953.0,0.0,1220,953.0,0.0
D_n045_008_a50_023,D,1337.0,1338.0,0.0747,1465,1338.0,0.07473841554559044
D_n045_008_a75_024,D,1483.0,1483.0,0.0,1485,1483.0,0.0
D_n045_009_a25_025,D,936.0,938.0,0.2132,1618,938.0,0.21321961620469082
D_n045_009_a50_026,D,1528.0,1528.0,0.0,1645,1528.0,0.0
D_n045_009_a75_027,D,1651.0,1651.0,0.0,1656,1651.0,0.0
D_n045_010_a25_028,D,957.0,957.0,0.0,1196,957.0,0.0
D_n045_010_a50_029,D,1462.0,1464.0,0.1366,1628,1464.0,0.1366120218579235
D_n045_010_a75_030,D,1613.0,1613.0,0.0,1629,1613.0,0.0
D_n050_011_a25_031,D,952.0,952.0,0.0,1221,952.0,0.0
D_n050_011_a50_032,D,1418.0,1418.0,0.0,1479,1418.0,0.0
D_n050_011_a75_033,D,1464.0,1464.0,0.0,1481,1464.0,0.0
D_n050_012_a25_034,D,753.0,754.0,0.1326,1047,754.0,0.1326259946949602
D_n050_012_a50_035,D,1216.0,1216.0,0.0,1515,1216.0,0.0
D_n050_012_a75_036,D,1478.0,1478.0,0.0,1517,1478.0,0.0
D_n050_013_a25_037,D,963.0,963.0,0.0,1320,963.0,0.0
D_n050_013_a50_038,D,1349.0,1352.0,0.2219,1587,1352.0,0.22189349112426035
D_n050_013_a75_039,D,1593.0,1593.0,0.0,1607,1593.0,0.0
D_n050_014_a25_040,D,1136.0,1138.0,0.1757,2028,1138.0,0.17574692442882248
D_n050_014_a50_041,D,1809.0,1813.0,0.2206,2055,1813.0,0.2206287920573635
D_n050_014_a75_042,D,2061.0,2061.0,0.0,2066,2061.0,0.0
D_n050_015_a25_043,D,968.0,969.0,0.1032,1308,969.0,0.10319917440660474
D_n050_015_a50_044,D,1591.0,1591.0,0.0,1651,1591.0,0.0
D_n050_015_a75_045,D,1635.0,1635.0,0.0,1652,1635.0,0.0
D_n055_016_a25_046,D,984.0,985.0,0.1015,1442,985.0,0.10152284263959391
D_n055_016_a50_047,D,1449.0,1449.0,0.0,1493,1449.0,0.0
D_n055_016_a75_048,D,1491.0,1491.0,0.0,1504,1491.0,0.0
D_n055_017_a25_049,D,773.0,773.0,0.0,1148,773.0,0.0
D_n055_017_a50_050,D,1337.0,1337.0,0.0,1646,1337.0,0.0
D_n055_017_a75_051,D,1609.0,1609.0,0.0,1648,1609.0,0.0
D_n055_018_a25_052,D,973.0,973.0,0.0,1342,973.0,0.0
D_n055_018_a50_053,D,1368.0,1370.0,0.146,1608,1370.0,0.145985401459854
D_n055_018_a75_054,D,1614.0,1614.0,0.0,1629,1614.0,0.0
D_n055_019_a25_055,D,1147.0,1157.0,0.8643,2039,1157.0,0.864304235090752
D_n055_019_a50_056,D,1920.0,1925.0,0.2597,2167,1925.0,0.2597402597402597
D_n055_019_a75_057,D,2173.0,2173.0,0.0,2179,2173.0,0.0
D_n055_020_a25_058,D,1157.0,1159.0,0.1726,1718,1159.0,0.1725625539257981
D_n055_020_a50_059,D,1891.0,1891.0,0.0,1971,1891.0,0.0
D_n055_020_a75_060,D,1958.0,1958.0,0.0,1972,1958.0,0.0
D_n060_021_a25_061,D,1084.0,1085.0,0.0922,1552,1085.0,0.09216589861751152
D_n060_021_a50_062,D,1646.0,1646.0,0.0,1704,1646.0,0.0
D_n060_021_a75_063,D,1700.0,1700.0,0.0,1716,1700.0,0.0
D_n060_022_a25_064,D,1083.0,1084.0,0.0923,1689,1084.0,0.09225092250922509
